Annee,Titre,Auteurs,Journal,Citations,Lien
2022,Towards a New Quantitative Availability Model for Computer Systems Based on Classifications of Security Requirements,"C Boulifi, M Jouini","International Journal of Systems and Software Security and Protection …, 2022",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYRMT7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mYRMT7AAAAAJ:e5wmG9Sq2KIC
2021,A quantitative assessment of security risks based on a multifaceted classification approach: M. Jouini et al.,"M Jouini, L Ben Arfa Rabai, R Khedri","International Journal of Information Security 20 (4), 493-510, 2021",20.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mYRMT7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mYRMT7AAAAAJ:HDshCWvjkbEC
