Annee,Titre,Auteurs,Type,DOI,Lien
2025,Comparisons Between Open-LLMs For Fake News Detection,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar, Rachel Ladouceur",Conference Paper,10.1109/CSNet67572.2025.11288261,https://www.researchgate.net/publication/398758608_Comparisons_Between_Open-LLMs_For_Fake_News_Detection
2025,A Data-centric approach for safe and secure large language models against threatening and toxic content,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar",Article,10.1007/s10207-025-01066-4,https://www.researchgate.net/publication/392238188_A_Data-centric_approach_for_safe_and_secure_large_language_models_against_threatening_and_toxic_content
2025,A Data-Centric Approach for Safe and Secure Large Language Models against Threatening and Toxic Content,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar",Preprint,10.48550/arXiv.2504.16120,https://www.researchgate.net/publication/391057845_A_Data-Centric_Approach_for_Safe_and_Secure_Large_Language_Models_against_Threatening_and_Toxic_Content
2025,Content Safety and Response Quality in LLMs: A Data-Centric Refinement Approach,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar",Article,10.1016/j.procs.2025.09.549,https://www.researchgate.net/publication/397361970_Content_Safety_and_Response_Quality_in_LLMs_A_Data-Centric_Refinement_Approach
2024,Enhancing RAG-Retrieval to Improve LLMs Robustness and Resilience to Hallucinations,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar",Chapter,10.1007/978-3-031-74186-9_17,https://www.researchgate.net/publication/384765519_Enhancing_RAG-Retrieval_to_Improve_LLMs_Robustness_and_Resilience_to_Hallucinations
