Annee,Titre,Auteurs,Type,DOI,Lien
2025,An improved Bi-criteria evolutionary approach for the sum coloring of graphs,"Jouhaina Chaouachi Siala, Olfa Harrabi, Hend Bouziri",Article,10.1051/ro/2025142,https://www.researchgate.net/publication/396753948_An_improved_Bi-criteria_evolutionary_approach_for_the_sum_coloring_of_graphs
2024,An optimisation-based system for the university course timetabling: a novel integer linear programming model,"Jouhaina Chaouachi Siala, Olfa Harrabi, Mehdi Mrad",Article,10.1504/IJISE.2024.136412,https://www.researchgate.net/publication/377937790_An_optimisation-based_system_for_the_university_course_timetabling_a_novel_integer_linear_programming_model
2022,A Novel Unfeasible Space Exploring Matheuristic Proposal to Solve the Sum Coloring Problem,"Jouhaina Chaouachi Siala, Olfa Harrabi",Chapter,10.1007/978-3-031-16210-7_51,https://www.researchgate.net/publication/363715420_A_Novel_Unfeasible_Space_Exploring_Matheuristic_Proposal_to_Solve_the_Sum_Coloring_Problem
2022,Toward Artifical Intelligence Tools for Solving the Real World Problems: Effective Hybrid Genetic Algorithms Proposal,"Olfa Harrabi, Jouhaina Chaouachi",Chapter,10.1007/978-3-030-93052-3_10,https://www.researchgate.net/publication/358891797_Toward_Artifical_Intelligence_Tools_for_Solving_the_Real_World_Problems_Effective_Hybrid_Genetic_Algorithms_Proposal
2021,Behaviour study of genetic operators for the solid waste collection problem: the municipality of Sidi Bou Said case study,"Farah Farjallah, Jouhaina Chaouachi Siala, Olfa Harrabi",Article,10.1504/IJCISTUDIES.2021.10044542,https://www.researchgate.net/publication/358016676_Behaviour_study_of_genetic_operators_for_the_solid_waste_collection_problem_the_municipality_of_Sidi_Bou_Said_case_study
